Name,Nationality,Years,Link
"Zabaglia, Niccola",Italian, 1664 - 1750,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=11630
"Zaccone, Fabian",American, 1910 - 1992,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=34202
"Zadkine, Ossip",French, 1890 - 1967,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3475
"Zaech, Bernhard",German, active c. 1650,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=25135
"Zagar, Jacob",Flemish, c. 1530 - after 1580,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=2298
"Zagroba, Idalia",Polish, born 1967,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=23988
"Zaidenberg, A.",American, active c. 1935,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=8232
"Zaidenberg, Arthur",American, 1903 - 1990,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=34154
"Zaisinger, Matthäus",German, active c. 1500,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=4910
"Zajac, Jack",American, born 1929,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3450
"Zak, Eugène",Polish, 1884 - 1926,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=1986
"Zakharov, Gurii Fillipovich",Russian, born 1926,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3451
"Zakowortny, Igor",No birthplace information,No date information,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=20099
"Zalce, Alfredo",Mexican, born 1908,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=3452
"Zalopany, Michele",American, born 1955,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=34309
"Zammiello, Craig",No birthplace information,No date information,https://web.archive.org/web/20121007172955/https://www.nga.gov/cgi-bin/tsearch?artistid=27191
